Req_ID,SWS_Reference,Requirement_Description,Function,File,Start_Line,End_Line,Implementation_Status,DET_Error_ID,Verification_Method,Notes
CANIF020,SWS_CANIF_00020,CanIf_RxIndication shall distribute received L-PDU to the configured upper layer module,CanIf_RxIndication,CanIf.c,763,898,Implemented,CANIF_E_UNINIT / CANIF_E_PARAM_POINTER / CANIF_E_PARAM_HRH / CANIF_E_PARAM_DLC / CANIF_E_PARAM_LPDU,Code Review / Integration Test,Routes to PduR / CanNm / CanTp / J1939Tp based on CanIfRxUserType
CANIF025,SWS_CANIF_00025,CanIf_RxIndication shall check the PDU channel mode and discard frame if receiver path is disabled,CanIf_RxIndication,CanIf.c,776,788,Implemented,,Code Review,Drops frame if mode is OFFLINE / TX_ONLINE / OFFLINE_ACTIVE
CANIF060,SWS_CANIF_00060,CanIf_RxIndication shall perform software filtering for BASIC CAN HRH using mask/ID filter,CanIf_RxIndication,CanIf.c,796,820,Implemented (MASK only),CANIF_E_PARAM_HRH,Code Review / Unit Test,Supports CANIF_SOFTFILTER_TYPE_MASK; reports DET for unsupported filter types
CANIF026,SWS_CANIF_00026,CanIf_RxIndication shall check the DLC of a received L-PDU if DLC check is enabled,CanIf_RxIndication,CanIf.c,823,829,Implemented (conditional),CANIF_E_PARAM_DLC,Code Review / Unit Test,Guarded by #if CANIF_DLC_CHECK==STD_ON; reports DET if CanDlc < configured DLC
CANIF019,SWS_CANIF_00019,CanIf_ControllerBusOff shall set the CAN controller mode to STOPPED and notify upper layer,CanIf_ControllerBusOff,CanIf.c,917,942,Implemented,CANIF_E_UNINIT / CANIF_E_PARAM_CONTROLLER,Code Review / Integration Test,Calls CanIf_SetControllerMode(CANIF_CS_STOPPED); calls CanIfBusOffNotification dispatch callback
CANIF037,SWS_CANIF_00037,CanIf_SetWakeupEvent shall propagate a wakeup event to the EcuM,CanIf_SetWakeupEvent,CanIf.c,943,962,Implemented,CANIF_E_UNINIT / CANIF_E_PARAM_CONTROLLER,Code Review,Calls CanIfWakeUpNotification if configured in DispatchConfig
CANIF209,SWS_CANIF_00209,CanIf_CancelTxConfirmation shall confirm cancellation of a pending Tx PDU,CanIf_CancelTxConfirmation,CanIf.c,901,914,Not Supported,CANIF_E_NOK_NOSUPPORT,Code Review,Guarded by CANIF_TRANSMIT_CANCELLATION==STD_ON; returns E_NOT_OK immediately (not implemented)
CANIF194,SWS_CANIF_00194,CanIf_ReadRxPduData shall copy the received Rx L-PDU data to the provided buffer,CanIf_ReadRxPduData,CanIf.c,487,497,Not Supported,CANIF_E_NOK_NOSUPPORT,Code Review,Guarded by CANIF_READRXPDU_DATA_API==STD_ON; returns E_NOT_OK (not implemented)
CANIF202,SWS_CANIF_00202,CanIf_ReadTxNotifStatus shall return the TX notification status of an L-PDU,CanIf_ReadTxNotifStatus,CanIf.c,503,527,Not Supported,CANIF_E_NOK_NOSUPPORT,Code Review,Guarded by CANIF_READTXPDU_NOTIFY_STATUS_API==STD_ON; returns CANIF_NO_NOTIFICATION (not implemented)
CANIF207,SWS_CANIF_00207,CanIf_ReadRxNotifStatus shall return the RX notification status of an L-PDU,CanIf_ReadRxNotifStatus,CanIf.c,533,539,Not Supported,CANIF_E_NOK_NOSUPPORT,Code Review,Guarded by CANIF_READRXPDU_NOTIFY_STATUS_API==STD_ON; returns CANIF_NO_NOTIFICATION (not implemented)
CANIF208,SWS_CANIF_00208,CanIf shall call PduR_CanIfRxIndication for PDUs routed through PDU Router,CanIf_RxIndication,CanIf.c,853,864,Implemented (conditional),,Code Review / Integration Test,Guarded by USE_PDUR; calls PduR_CanIfRxIndication with PduInfoType
CANIF233,SWS_CANIF_00233,CanIf shall call CanNm_RxIndication for PDUs belonging to CAN Network Management,CanIf_RxIndication,CanIf.c,846,851,Implemented (conditional),,Code Review / Integration Test,Guarded by USE_CANNM; calls CanNm_RxIndication with PDU ID and SDU pointer; NOTE: TODO tag at L47 indicates PduR_CanIf.h import was deferred
CANIF035,SWS_CANIF_00035,CanIf_Arc_Error shall notify upper layer of a CAN driver error event,CanIf_Arc_Error,CanIf.c,963,990,Implemented (ArcCore extension),CANIF_E_UNINIT / CANIF_E_PARAM_CONTROLLER,Code Review,ArcCore-specific (not standard AUTOSAR API); calls CanIfErrorNotification
CANIF_PreInit,ArcCore_Extension,Pre-initialization of CAN controller before CanIf_Init completes (ArcCore extension),CanIf_PreInit_InitController,CanIf.c,206,222,Implemented (ArcCore extension),CANIF_E_PARAM_CONTROLLER / CANIF_E_PARAM_POINTER,Code Review,Not in AUTOSAR standard; called internally by CanIf_Init to init each controller before initRun is set
CANIF_FindHrh,ArcCore_Extension,Internal helper to map HRH hardware object to CanIf channel ID,CanIf_Arc_FindHrhChannel,CanIf.c,100,126,Implemented (internal),,Code Review,Static helper; reports CANIF_E_PARAM_HRH via DET if HRH not found; returns -1 as sentinel
CANIF_FindTxPdu,ArcCore_Extension,Internal helper to find Tx PDU config entry by PDU ID,CanIf_FindTxPduEntry,CanIf.c,343,354,Implemented (internal),,Code Review,Returns NULL if id >= CanIfNumberOfCanTXPduIds; bounds-check only
CANIF_FindRxPdu,ArcCore_Extension,Internal helper to find Rx PDU config entry by PDU ID (runtime PDU config only),CanIf_FindRxPduEntry,CanIf.c,357,364,Implemented (conditional internal),,Code Review,Only available when CANIF_ARC_RUNTIME_PDU_CONFIGURATION==STD_ON
CANIF_GetRxHandler,ArcCore_Extension,Get the receive HRH config handler for a given CanIf channel (runtime PDU config only),CanIf_Arc_GetReceiveHandler,CanIf.c,366,391,Implemented (conditional internal),CANIF_E_PARAM_HRH,Code Review,Only available when CANIF_ARC_RUNTIME_PDU_CONFIGURATION==STD_ON
CANIF_GetTxHandler,ArcCore_Extension,Get the transmit HTH config handler for a given CanIf channel (runtime PDU config only),CanIf_Arc_GetTransmitHandler,CanIf.c,393,421,Implemented (conditional internal),,Code Review,Only available when CANIF_ARC_RUNTIME_PDU_CONFIGURATION==STD_ON
CANIF_GetChanDefConf,ArcCore_Extension,Return the default configuration index for a given CanIf channel,CanIf_Arc_GetChannelDefaultConfIndex,CanIf.c,991,996,Implemented (ArcCore extension),,Code Review,Returns Arc_ChannelDefaultConfIndex[Channel] from config
CANIF034,SWS_CANIF_00034,CanIf shall support transceiver mode setting via CanIf_SetTransceiverMode,CanIf_SetTransceiverMode,CanIf.c,684,692,Not Supported,CANIF_E_NOK_NOSUPPORT,Code Review,Returns E_NOT_OK immediately; transceiver API not implemented
CANIF038,SWS_CANIF_00038,CanIf shall support transceiver mode reading via CanIf_GetTransceiverMode,CanIf_GetTransceiverMode,CanIf.c,693,701,Not Supported,CANIF_E_NOK_NOSUPPORT,Code Review,Returns E_NOT_OK immediately
CANIF039,SWS_CANIF_00039,CanIf shall support wakeup reason reading via CanIf_GetTrcvWakeupReason,CanIf_GetTrcvWakeupReason,CanIf.c,702,710,Not Supported,CANIF_E_NOK_NOSUPPORT,Code Review,Returns E_NOT_OK immediately
CANIF040,SWS_CANIF_00040,CanIf shall support transceiver wakeup mode setting via CanIf_SetTransceiverWakeupMode,CanIf_SetTransceiverWakeupMode,CanIf.c,711,720,Not Supported,CANIF_E_NOK_NOSUPPORT,Code Review,Returns E_NOT_OK immediately
CANIF041,SWS_CANIF_00041,CanIf shall support wakeup source checking via CanIf_CheckWakeup,CanIf_CheckWakeup,CanIf.c,722,729,Not Supported,CANIF_E_NOK_NOSUPPORT,Code Review,Returns E_NOT_OK immediately
CANIF042,SWS_CANIF_00042,CanIf shall support wakeup validation via CanIf_CheckValidation,CanIf_CheckValidation,CanIf.c,730,739,Not Supported,CANIF_E_NOK_NOSUPPORT,Code Review,Returns E_NOT_OK immediately
