Requirement to Code Traceability matrix

| Req ID | CanIf.c function(s) / description from csv |
| SWS_CANIF_00677 | CanIf_Transmit / If a controller mode referenced by ControllerId is in state CAN_CS_STOPPED and if the PduIdType parameter in a call of CanIf_Transmit() is assigned to that CAN Controller, then the call of CanIf_Transmit() does not result in a call of Can_Write() (see [SWS_CANIF_00317]) and returns E_NOT_OK.] () |
| SWS_CANIF_00865 | CanIf_SetControllerMode / If CanIf_SetControllerMode(ControllerId, CAN_CS_SLEEP) is called, CanIf shall set the PDU channel mode of the corresponding channel to CANIF_OFFLINE. |
| SWS_CANIF_00866 | CanIf_SetControllerMode, CanIf_ControllerBusOff / If CanIf_SetControllerMode(ControllerId, CAN_CS_STOPPED) or CanIf_ControllerBusOff(ControllerId) is called, CanIf   shall set the PDU channel mode of the corresponding channel to CANIF_TX_OFFLINE. |
| SWS_CANIF_00073 | CanIf_Transmit, CanIf_TxConfirmation, CanIf_RxIndication / For Physical Channels switching to CANIF_OFFLINE mode CanIf shall: prevent forwarding of transmit requests CanIf_Transmit() of associated L- -PDUs to CanDrv (return E_NOT_OK to the calling upper layer modules), clear the corresponding CanIf transmit buffers, prevent invocation of receive indication callback services of the upper layer modules, prevent invocation of transmit confirmation callback services of the upper layer modules. |
| SWS_CANIF_00489 | CanIf_Transmit, CanIf_RxIndication / For Physical Channels switching to CANIF_TX_OFFLINE mode CanIf shall: prevent forwarding of transmit requests CanIf_Transmit() of associated L--PDUs to CanDrv (return E_NOT_OK to the calling upper layer modules), clear the corresponding CanIf transmit buffers, prevent invocation of transmit confirmation callback services of the upper layer modules. enable invocation of receive indication callback services of the upper layer modules. |
| SWS_CANIF_00075 | CanIf_SetControllerMode / For Physical Channels switching to CANIF_ONLINE mode CanIf shall: enable forwarding of transmit requests CanIf_Transmit() of associated L- -PDUs to CanDrv, enable invocation of receive indication callback services of the upper layer modules, enable invocation of transmit confirmation callback services of the upper layer modules. |
| SWS_CANIF_00072 | CanIf_TxConfirmation / For every L-PDU assigned to a channel which is in CANIF_TX_OFFLINE_ACTIVE mode CanIf shall call the transmit confirmation callback services of the upper layer modules immediately instead of buffering or forwarding of the L-PDUs to CanDrv during the call of CanIf_Transmit(). |
| SWS_CANIF_00118 | CanIf_ControllerBusOff / If those Transmit L-PDUs, which are already waiting for transmission in the CAN Transmit Hardware Object, will be transmitted immediately after change to CANIF_TX_OFFLINE or CANIF_OFFLINE mode and a subsequent BusOff event occurs, CanIf does not prohibit execution of the BusOff notification <User_ControllerBusOff>(ControllerId). |
| SWS_CANIF_00341 | CanIf_SetPduMode / If CanIf_SetPduMode() is called with invalid ControllerId, CanIf shall report development error code CANIF_E_PARAM_CONTROLLERID to the Det_ReportError service of the DET module. |
| SWS_CANIF_00860 | CanIf_SetPduMode / If CanIf_SetPduMode() is called with invalid PduModeRequest, CanIf shall report development error code CANIF_E_PARAM_PDU_MODE to the Det_ReportError service of the DET module. |
| SWS_CANIF_00874 | CanIf_SetPduMode / The service CanIf_SetPduMode() shall not accept any request and shall return E_NOT_OK, if the controller mode referenced by ControllerId is not in state CAN_CS_STARTED. |
| SWS_CANIF_00346 | CanIf_GetPduMode / If CanIf_GetPduMode() is called with invalid ControllerId, CanIf shall report development error code CANIF_E_PARAM_CONTROLLERID to the Det_ReportError service of the DET module. |
| SWS_CANIF_00657 | CanIf_GetPduMode / If CanIf_GetPduMode() is called with invalid PduModePtr, CanIf shall report development error code CANIF_E_PARAM_POINTER to the Det_ReportError service of the DET module. |
| SWS_CANIF_00317 | CanIf_Transmit / The service CanIf_Transmit() shall not accept a transmit request, if the controller mode referenced by ControllerId is different to CAN_CS_STARTED and the channel mode at least for the transmit path is not online or offline active. |
| SWS_CANIF_00318 | CanIf_Transmit / CanIf_Transmit() shall call Can_Write() with the hardware transmit handle corresponding to the provided TxPduId and a Can_PduType structure where: swPduHandle is set to the CanTxPduId used in the corresponding CanIf_TxConfirmation() call length is set to the value provided as PduInfoPtr->SduLength, possibly reduced according to [SWS_CANIF_00894] id is set to the CAN ID associated with the TxPduId sdu is set to the pointer provided as PduInfoPtr->SduDataPtr |
| SWS_CANIF_00243 | CanIf_Transmit / CanIf shall set the two most significant bits (ÕIDentifier Extension flagÕ (see [12, ISO 11898-1:2015]) and ÕCAN FD flagÕ) of the CanId ( PduInfoPtr->id) before CanIf passes the predefined CanId to CanDrv at call of Can_Write() (see [1, Specification of CAN Driver], definition of Can_IdType [SWS_Can_00416]). The CanId format type of each CAN L-PDU can be configured by CanIfTxPduCanIdType, refer to CanIfTxPduCanIdType. |
| SWS_CANIF_00162 | CanIf_Transmit / If the call of Can_Write() returns E_OK the transmit request service CanIf_Transmit() shall return E_OK. |
| SWS_CANIF_00319 | CanIf_Transmit / If parameter TxPduId of CanIf_Transmit() has an invalid value, CanIf shall report development error code CANIF_E_INVALID_TXPDUID to the Det_ReportError service of the DET, when CanIf_Transmit() is called.] (SRS_BSW_00323) |
| SWS_CANIF_00320 | CanIf_Transmit / If parameter PduInfoPtr of CanIf_Transmit() has an invalid value, CanIf shall report development error code CANIF_E_PARAM_POINTER to the Det_ReportError service of the DET module, when CanIf_Transmit() is called. |
| SWS_CANIF_00882 | CanIf_Transmit / CanIf_Transmit() shall accept a NULL pointer as PduInfoPtr->SduDataPtr, if the PDU is configured for triggered transmission: CanIfTxPduTriggerTransmit = TRUE. |
| SWS_CANIF_00893 | CanIf_Transmit / When CanIf_Transmit() is called with PduInfoPtr->SduLength exceeding the maximum length of the PDU referenced by TxPduId: SduLength > 8 if the Can_IdType indicates a classic CAN frame SduLength > 64 if the Can_IdType indicates a CAN FD frame CanIf shall report runtime error code CANIF_E_DATA_LENGTH_MISMATCH to the Det_ReportRuntimeError() service of the DET. |
| SWS_CANIF_00894 | CanIf_Transmit / When CanIf_Transmit() is called with PduInfoPtr->SduLength exceeding the length of the global PDU (see [ECUC_EcuC_00078]) referenced by TxPduId and CanIfTxPduTruncation is enabled, CanIf shall transmit data up to the length of the global PDU (see [ECUC_EcuC_00078]) and discard the rest. |
| SWS_CANIF_00900 | CanIf_Transmit / When CanIf_Transmit() is called with PduInfoPtr->SduLength exceeding the length of the global PDU (see [ECUC_EcuC_00078]) referenced by TxPduId and CanIfTxPduTruncation is disabled, CanIf shall report the runtime error CANIF_E_TXPDU_LENGTH_EXCEEDED and return E_NOT_OK without further actions. |
| SWS_CANIF_00381 | CanIf_Transmit / If transmit buffering is enabled (see [SWS_CANIF_00063]) and if the call of Can_Write() for a PDU configured for direct transmission returns with CAN_BUSY, CanIf shall check if it is possible to buffer the CanIf Tx L-PDU, which was requested to be transmitted via Can_Write() in a CanIfTxBuffer.] (SRS_Can_01126) When the call of Can_Write() returns with CAN_BUSY, CanDrv has rejected the requested transmission of the L-PDU (see [1]) because there is no free hardware object available at time of the transmit request (Tx request). |
| SWS_CANIF_00881 | CanIf_Transmit / If transmit buffering is enabled (see [SWS_CANIF_00063]) and if the call of Can_Write() for a PDU configured for triggered transmission returns with CAN_BUSY, CanIf shall check if it is possible to buffer the Transmit Request, which was requested to be transmitted via Can_Write() in a CanIfTxBuffer.] (SRS_Can_01126) |
| SWS_CANIF_00386 | CanIf_TxConfirmation / CanIf shall evaluate during transmit confirmation (see [SWS_CANIF_00007]), whether pending CanIf Tx L-PDUs or Transmit Requests are stored within the CanIfTxBuffers, which are assigned to the new free Hardware Transmit Object (see [SWS_CANIF_00466]). |
| SWS_CANIF_00485 | CanIf_SetControllerMode / If a controller mode referenced by ControllerId enters state CAN_CS_STOPPED, then CanIf shall clear the CanIf transmit buffers assigned to the CAN Controller corresponding. |
| SWS_CANIF_00739 | CanIf_SetControllerMode / If a controller mode referenced by ControllerId enters state CAN_CS_STOPPED, then CanIf shall inform corresponding upper layer modules about failed transmission by calling <User_TxConfirmation>(id, E_NOT_OK) for every outstanding TxConfirmation assigned to that CAN Controller. If CanIfPublicTxConfirmPollingSupport is enabled, CanIf shall also clear the information about a TxConfirmation (see [SWS_CANIF_00740]). |
| SWS_CANIF_00383 | CanIf_TxConfirmation / When callback notification CanIf_TxConfirmation() is called, CanIf shall identify the upper layer communication layer (see [SWS_CANIF_00414]), which is linked to the successfully transmitted L- -PDU, and shall notify it about the performed transmission by call of CanIfÕs transmit confirmation service <User_TxConfirmation>(E_OK). |
| SWS_CANIF_00412 | CanIf_TxConfirmation / If CanIf was not initialized before calling CanIf_TxConfirmation(), CanIf shall not call the service <User_TxConfirmation>() and shall not set the Tx confirmation status, when CanIf_TxConfirmation() is called. |
| SWS_CANIF_00410 | CanIf_TxConfirmation / If parameter CanTxPduId of CanIf_TxConfirmation() has an invalid value, CanIf shall report development error code CANIF_E_PARAM_LPDU to the Det_ReportError service of the DET module, when CanIf_TxConfirmation() is called. |
| SWS_CANIF_00551 | CanIf_RxIndication / Configuration of <User_TxConfirmation>(): If CanIfTxPduUserTxConfirmationUL is set to CDD, the name of the API <User_TxConfirmation>() has to be configured via parameter CanIfTxPduUserTxConfirmationName. |
| SWS_CANIF_00389 | CanIf_RxIndication / If the function CanIf_RxIndication() is called, the CanIfshall process the Software Filtering on the received L-PDU, if configured (see multiplicity of CanIfHrhRangeCfg equals 0..?). If Software Filtering rejects the received L-PDU, the CanIf shall end the receive indication for that call of CanIf_RxIndication() |
| SWS_CANIF_00390 | CanIf_RxIndication / If CanIf accepts an L-PDU received via CanIf_RxIndication() during Software Filtering (see [SWS_CANIF_00389]), CanIf shall process the Data Length check afterwards, if configured (see CanIfPrivateDataLengthCheck and CanIfRxPduDataLengthCheck). |
| SWS_CANIF_00030 | CanIf_RxIndication / If the CanId of the received L-PDU in the HRH is configured to be received, then CanIf shall accept this L-PDU and the software filtering algorithm shall derive the corresponding Receive L-PDU from the found CanId. |
| SWS_CANIF_00852 | CanIf_RxIndication / If a range is (partly) contained in another range, or a single CanId is contained in a range, the software filter shall select the L-PDU based on the following assumptions: A single CanId is always more relevant than a range. A smaller range is more relevant than a larger range. |
| SWS_CANIF_00026 | CanIf_RxIndication / CanIf shall accept all received L-PDUs (see [SWS_CANIF_00390]) with a Data Length value equal or greater then the configured Data Length value (see CanIfRxPduDataLength). |
| SWS_CANIF_00902 | CanIf_RxIndication / The Data Length Check shall be processed if it is enabled globally (see CanIfPrivateDataLengthCheck) and not disabled individually per PDU (see CanIfRxPduDataLengthCheck). |
| SWS_CANIF_00168 | CanIf_RxIndication / If the Data Length Check rejects a received L-PDU (see [SWS_CANIF_00026]), CanIf shall report runtime error code CANIF_E_INVALID_DATA_LENGTH to the Det_ReportRuntimeError() service of the DET module. |
| SWS_CANIF_00829 | CanIf_RxIndication / CanIf shall pass the received (see [SWS_CANIF_00006]) length value to the target upper layer module (see [SWS_CANIF_00135]), if the Data Length Check is passed. |
| SWS_CANIF_00830 | CanIf_RxIndication / CanIf shall pass the received (see [SWS_CANIF_00006]) length value to the target upper layer module (see [SWS_CANIF_00135]), if the Data Length Check is not configured (see CanIfPrivateDataLengthCheck and CanIfRxPduDataLengthCheck) |
| SWS_CANIF_00056 | CanIf_RxIndication / If CanIf accepts a L-PDU received via CanIf_RxIndication() during Data Length Check (see [SWS_CANIF_00390], [SWS_CANIF_00026]), CanIf shall identify if a target upper layer module was configured (see configuration descrption of [SWS_CANIF_00012], CanIfRxPduUserRxIndicationUL, CanIfRxPduUserRxIndicationName) to be called with its providing receive indication service for the received L-SDU. |
| SWS_CANIF_00135 | CanIf_RxIndication / If a target upper layer module was configured to be called with its providing receive indication service (see [SWS_CANIF_00056]), the CanIf shall call this configured receive indication callback service (see CanIfRxPduUserRxIndicationName) and shall provide the parameters required for upper layer notification   callback functions (see [SWS_CANIF_00012]) based on the parameters of CanIf_RxIndication(). |
| SWS_CANIF_00415 | CanIf_RxIndication / Within the service CanIf_RxIndication() the CanIf routes this indication to the configured upper layer target service(s). |
| SWS_CANIF_00416 | CanIf_Arc_FindHrhChannel / If parameter Mailbox->Hoh of CanIf_RxIndication() has an invalid value, CanIf shall report development error code CANIF_E_PARAM_HOH to the Det_ReportError service of the DET module, when CanIf_RxIndication() is called. |
| SWS_CANIF_00417 | CanIf_RxIndication / If parameter Mailbox->CanId of CanIf_RxIndication() has an invalid value, CanIf shall report development error code CANIF_E_PARAM_CANID to the Det_ReportError service of the DET module, when CanIf_RxIndication() is called. |
| SWS_CANIF_00419 | CanIf_RxIndication / If parameter PduInfoPtr or Mailbox of CanIf_RxIndication() has an invalid value, CanIf shall report development error code CANIF_E_PARAM_POINTER to the Det_ReportError service of the DET module, when CanIf_RxIndication() is called. |
| SWS_CANIF_00421 | CanIf_RxIndication / If CanIf was not initialized before calling CanIf_RxIndication(), CanIf shall not execute Rx indication handling, when CanIf_RxIndication(), is called. |
| SWS_CANIF_00423 | CanIf_RxIndication / Configuration of CanIf_RxIndication(): Each Rx L-PDU (see CanIfRxPduCfg) has to be configured with a corresponding receive indication service of an upper layer module (see [SWS_CANIF_00012]) which is called in CanIf_RxIndication(). |
| SWS_CANIF_00552 | CanIf_RxIndication / Configuration of <User_RxIndication>(): The name of the API <User_RxIndication>() which will be called by CanIf shall be configured for CanIf by parameter CanIfRxPduUserRxIndicationName. |
| SWS_CANIF_00442 | CanIf_RxIndication / Configuration of <User_RxIndication>(): If CanIfRxPduUserRxIndicationUL is set to PDUR, CanIfRxPduUserRxIndicationName must be PduR_CanIfRxIndication. |
| SWS_CANIF_00445 | CanIf_RxIndication / Configuration of <User_RxIndication>(): If CanIfRxPduUserRxIndicationUL is set to CAN_NM, CanIfRxPduUserRxIndicationName must be CanNm_RxIndication. |
| SWS_CANIF_00448 | CanIf_RxIndication / Configuration of <User_RxIndication>(): If CanIfRxPduUserRxIndicationUL is set to CAN_TP, CanIfRxPduUserRxIndicationName must be CanTp_RxIndication. |
| SWS_CANIF_00554 | CanIf_RxIndication / Configuration of <User_RxIndication>(): If CanIfRxPduUserRxIndicationUL is set to J1939TP, CanIfRxPduUserRxIndicationName must be J1939Tp_RxIndication. |
| SWS_CANIF_00557 | CanIf_RxIndication / Configuration of <User_RxIndication>(): If CanIfRxPduUserRxIndicationUL is set to CDD the name of the API has to be configured via parameter CanIfRxPduUserRxIndicationName. |
| SWS_CANIF_00324 | CanIf_ReadRxPduData / The function CanIf_ReadRxPduData() shall not accept a request and return E_NOT_OK, if the corresponding controller mode refrenced by ControllerId is different to CAN_CS_STARTED and the channel mode is in the receive path online. |
| SWS_CANIF_00325 | CanIf_ReadRxPduData / If parameter CanIfRxSduId of CanIf_ReadRxPduData() has an invalid value, e.g. not configured to be stored within CanIf via CanIfRxPduReadData, CanIf shall report development error code CANIF_E_INVALID_RXPDUID to the Det_ReportError service of the DET, when CanIf_ReadRxPduData() is called. |
| SWS_CANIF_00326 | CanIf_ReadRxPduData / If parameter CanIfRxInfoPtr of CanIf_ReadRxPduData () has an invalid value, CanIf shall report development error code CANIF_E_PARAM_POINTER to the Det_ReportError service of the DET module, when CanIf_ReadRxPduData() is called. |
| SWS_CANIF_00393 | CanIf_ReadTxNotifStatus / If configuration parameters CanIfPublicReadTxPduNotifyStatusApi and CanIfTxPduReadNotifyStatus for the transmitted L-SDU are set to TRUE, and if CanIf_ReadTxNotifStatus() is called, the CanIf shall reset the notification status for the transmitted L-SDU. |
| SWS_CANIF_00331 | CanIf_ReadTxNotifStatus / If parameter CanIfTxSduId of CanIf_ReadTxNotifStatus() is out of range or if no status information was configured for this CAN Tx L-SDU, CanIf shall report development error code CANIF_E_INVALID_TXPDUID to the Det_ReportError service of the DET when CanIf_ReadTxNotifStatus () is called. |
| SWS_CANIF_00394 | CanIf_ReadRxNotifStatus / If configuration parameters CanIfPublicReadRxPduNotifyStatusApi and CanIfRxPduReadNotifyStatus are set to TRUE, and if CanIf_ReadRxNotifStatus() is called, then CanIf shall reset the notification status for the received L-SDU. |
| SWS_CANIF_00336 | CanIf_ReadRxNotifStatus / If parameter CanIfRxSduId of CanIf_ReadRxNotifStatus() is out of range or if status for CanRxPduId was requested whereas CanIfRxPduReadData is disabled or if no status information was configured for this CAN Rx    L-SDU, CanIf shall report development error code CANIF_E_INVALID_RXPDUID to the Det_ReportError service of the DET, when CanIf_ReadRxNotifStatus () is called. |
| SWS_CANIF_00188 | CanIf_SetDynamicTxId / CanIf shall process the two most significant bits of the CanId (see [1, Specification of CAN Driver], definition of Can_IdType [SWS_Can_00416]) to determine which type of CanId is used and thus how the dynamic Transmit L-PDU shall be transmitted. |
| SWS_CANIF_00673 | CanIf_SetDynamicTxId / The CanIf shall guarantee data consistency of the CanId in case of running function CanIf_SetDynamicTxId(). This service may be interrupted by a pre-emptive call of CanIf_Transmit() affecting the same L-PDU, see [SWS_CANIF_00064]. |
| SWS_CANIF_00352 | CanIf_SetDynamicTxId / If parameter CanIfTxSduId of CanIf_SetDynamicTxId () has an invalid value, CanIf shall report development error code CANIF_E_INVALID_TXPDUID to the Det_ReportError service of the DET module, when CanIf_SetDynamicTxId() is called. |
| SWS_CANIF_00353 | CanIf_SetDynamicTxId / If parameter CanId of CanIf_SetDynamicTxId() has an invalid value, CanIf shall report development error code CANIF_E_PARAM_CANID to the Det_ReportError service of the DET module, when CanIf_SetDynamicTxId() is called. |
| SWS_CANIF_00355 | CanIf_SetDynamicTxId / If CanIf was not initialized before calling CanIf_SetDynamicTxId(), then the function CanIf_SetDynamicTxId() shall not execute a reconfiguration of Tx CanId. |
| SWS_CANIF_00724 | CanIf_ControllerBusOff / When callback CanIf_ControllerBusOff(ControllerId) is called, the CanIf shall call CanSM_ControllerBusOff(ControllerId) of the CanSm or a CDD (see [SWS_CANIF_00559], [SWS_CANIF_00560]).] () Note for [SWS_CANIF_00724]: Note for [SWS_CANIF_00724]: See subsubsection 8.6.3.9 Ò<User_ControllerModeIndication>Ó. |
| SWS_CANIF_00429 | CanIf_ControllerBusOff / If parameter ControllerId of CanIf_ControllerBusOff () has an invalid value, CanIf shall report development error code CANIF_E_PARAM_CONTROLLERID to the Det_ReportError service of the DET module, when CanIf_ControllerBusOff() is called. |
| SWS_CANIF_00431 | CanIf_ControllerBusOff / If CanIf was not initialized before calling CanIf_ControllerBusOff(), CanIf shall not execute BusOff notification, when CanIf_ControllerBusOff(), is called. |
| SWS_CANIF_00395 | CanIf_CheckWakeup / When CanIf_CheckWakeup(EcuM_WakeupSourceType WakeupSource) is invoked, CanIf shall query CanDrvs / CanTrcvs via CanTrcv_CheckWakeup() or Can_CheckWakeup(), which exact CAN hardware device caused the bus wake-up. |
| SWS_CANIF_00678 | CanIf_CheckWakeup / If all calls of Can_CheckWakeup() or CanTrcv_CheckWakeup() return E_NOT_OK to CanIf, then CanIf_CheckWakeup() shall return E_NOT_OK. |
| SWS_CANIF_00179 | CanIf_CheckValidation / <User_ValidateWakeupEvent>(sources) shall be called during CanIf_CheckValidation(WakeupSource), whereas sources is set to WakeupSource, if the event of the first called CanIf_RxIndication() is stored in CanIf at the corresponding CAN Controller. |
| SWS_CANIF_00756 | CanIf_SetControllerMode / When controller mode is set to CAN_CS_SLEEP the stored event from previous wake-up (first call of CanIf_RxIndication) shall be cleared (see [SWS_CANIF_00179]). |
| SWS_CANIF_00398 | CanIf_CheckWakeup / If parameter WakeupSource of CanIf_CheckWakeup() has an invalid value, CanIf shall report development error code CANIF_E_PARAM_WAKEUPSOURCE to the Det_ReportError service of the DET, when CanIf_CheckWakeup() is called. |
| SWS_CANIF_00404 | CanIf_CheckValidation / If parameter WakeupSource of CanIf_CheckValidation () has an invalid value, the CanIf shall report development error code CANIF_E_PARAM_WAKEUPSOURCE to the Det_ReportError service of the DET module, when CanIf_CheckValidation() is called. |
| SWS_CANIF_00358 | CanIf_SetTransceiverMode / The function CanIf_SetTrcvMode() shall call the function CanTrcv_SetOpMode(Transceiver, OpMode) on the corresponding requested CAN Transceiver Driver module. |
| SWS_CANIF_00538 | CanIf_SetTransceiverMode / If parameter TransceiverId of CanIf_SetTrcvMode() has an invalid value, the CanIf shall report development error code CANIF_E_PARAM_TRCV to the Det_ReportError service of the DET, when CanIf_SetTrcvMode () is called. |
| SWS_CANIF_00648 | CanIf_SetTransceiverMode / If parameter TransceiverMode of CanIf_SetTrcvMode() has an invalid value (not CANTRCV_TRCVMODE_STANDBY, CANTRCV_TRCVMODE_SLEEP or CANTRCV_TRCVMODE_NORMAL), the CanIf shall report development error code CANIF_E_PARAM_TRCVMODE to the Det_ReportError service of the DET module, when CanIf_SetTrcvMode() is called. |
| SWS_CANIF_00363 | CanIf_GetTransceiverMode / The function CanIf_GetTrcvMode() shall call the function CanTrcv_GetOpMode(Transceiver, OpMode) on the corresponding requested CAN Transceiver Driver module. |
| SWS_CANIF_00364 | CanIf_GetTransceiverMode / If parameter TransceiverId of CanIf_GetTrcvMode() has an invalid value, the CanIf shall report development error code CANIF_E_PARAM_TRCV to the Det_ReportError service of the DET module, when CanIf_GetTrcvMode() is called. |
| SWS_CANIF_00650 | CanIf_GetTransceiverMode / If parameter TransceiverModePtr of CanIf_GetTrcvMode() has an invalid value, the CanIf shall report development error code CANIF_E_PARAM_POINTER to the Det_ReportError service of the DET module, when CanIf_GetTrcvMode() was called. |
| SWS_CANIF_00368 | CanIf_GetTrcvWakeupReason / The function CanIf_GetTrcvWakeupReason() shall call CanTrcv_GetBusWuReason(Transceiver, Reason) on the corresponding requested CanTrcv. |
| SWS_CANIF_00537 | CanIf_GetTrcvWakeupReason / If parameter TransceiverId of CanIf_GetTrcvWakeupReason() has an invalid value, the CanIf shall report development error code CANIF_E_PARAM_TRCV to the Det_ReportError service of the DET module, when CanIf_GetTrcvWakeupReason() is called. |
| SWS_CANIF_00649 | CanIf_GetTrcvWakeupReason / If parameter TrcvWuReasonPtr of CanIf_GetTrcvWakeupReason() has an invalid value, the CanIf shall report development error code CANIF_E_PARAM_POINTER to the Det_ReportError service of the DET module, when CanIf_GetTrcvWakeupReason() is called. |
| SWS_CANIF_00372 | CanIf_SetTransceiverWakeupMode / The function CanIf_SetTrcvWakeupMode() shall call CanTrcv_SetWakeupMode(Transceiver, TrcvWakeupMode) on the corresponding requested CanTrcv. |
| SWS_CANIF_00535 | CanIf_SetTransceiverWakeupMode / If parameter TransceiverId of CanIf_SetTrcvWakeupMode() has an invalid value, the CanIf shall report development error code CANIF_E_PARAM_TRCV to the Det_ReportError service of the DET module, when CanIf_SetTrcvWakeupMode() is called. |
| SWS_CANIF_00536 | CanIf_SetTransceiverWakeupMode / If parameter TrcvWakeupMode of CanIf_SetTrcvWakeupMode() has an invalid value, the CanIf shall report development error code CANIF_E_PARAM_TRCVWAKEUPMODE to the Det_ReportError service of the DET module, when CanIf_SetTrcvWakeupMode() is called. |

