These requirements are present in `Requirments/CanIf_SWS_AR403.csv` but do not map to any function in `CanIf.c` (config-only items, header-only requirements, or missing APIs/features).

| Req ID | CanIf.c function(s) / mapping target |
| SWS_CANIF_00856 | None in CanIf.c (MetaData CanId mask handling not supported; maps to disabled dynamic/metadata support: CANIF_SETDYNAMICTXID_API and CANIF_ARC_RUNTIME_PDU_CONFIGURATION in generated CanIf_Cfg.h, CanIf_PduTypeType in OpenSAR/include/CanIf_ConfigTypes.h, and optional CanIf_SetDynamicTxId guard in OpenSAR/include/CanIf.h) |
| SWS_CANIF_00854 | None in CanIf.c (MetaData CanId merge logic not supported; maps to disabled dynamic/metadata support: CANIF_SETDYNAMICTXID_API and CANIF_ARC_RUNTIME_PDU_CONFIGURATION in generated CanIf_Cfg.h, CanIf_PduTypeType in OpenSAR/include/CanIf_ConfigTypes.h, and optional CanIf_SetDynamicTxId guard in OpenSAR/include/CanIf.h) |
| SWS_CANIF_00857 | None in CanIf.c (dynamic Tx IDs disabled by configuration; maps to disabled dynamic/metadata support: CANIF_SETDYNAMICTXID_API and CANIF_ARC_RUNTIME_PDU_CONFIGURATION in generated CanIf_Cfg.h, CanIf_PduTypeType in OpenSAR/include/CanIf_ConfigTypes.h, and optional CanIf_SetDynamicTxId guard in OpenSAR/include/CanIf.h) |
| SWS_CANIF_00847 | None in CanIf.c (dynamic Rx PDU + MetaData not supported; maps to disabled dynamic/metadata support: CANIF_SETDYNAMICTXID_API and CANIF_ARC_RUNTIME_PDU_CONFIGURATION in generated CanIf_Cfg.h, CanIf_PduTypeType in OpenSAR/include/CanIf_ConfigTypes.h, and optional CanIf_SetDynamicTxId guard in OpenSAR/include/CanIf.h) |
| SWS_CANIF_00848 | None in CanIf.c (dynamic Rx MetaData copy not supported; maps to disabled dynamic/metadata support: CANIF_SETDYNAMICTXID_API and CANIF_ARC_RUNTIME_PDU_CONFIGURATION in generated CanIf_Cfg.h, CanIf_PduTypeType in OpenSAR/include/CanIf_ConfigTypes.h, and optional CanIf_SetDynamicTxId guard in OpenSAR/include/CanIf.h) |
| SWS_CANIF_00653 | None in CanIf.c (ControllerId abstraction is configuration-only; maps to configuration structures in OpenSAR/include/CanIf_ConfigTypes.h and generated CanIf_Cfg.c files under OpenSAR/boards/*/*/config/) |
| SWS_CANIF_00655 | None in CanIf.c (TransceiverId abstraction is configuration-only; maps to configuration structures in OpenSAR/include/CanIf_ConfigTypes.h and generated CanIf_Cfg.c files under OpenSAR/boards/*/*/config/) |
| SWS_CANIF_00467 | None in CanIf.c (HOH ordering is configuration-only; maps to configuration structures in OpenSAR/include/CanIf_ConfigTypes.h and generated CanIf_Cfg.c files under OpenSAR/boards/*/*/config/) |
| SWS_CANIF_00468 | None in CanIf.c (acceptance filter references are configuration-only; maps to configuration structures in OpenSAR/include/CanIf_ConfigTypes.h and generated CanIf_Cfg.c files under OpenSAR/boards/*/*/config/) |
| SWS_CANIF_00281 | None in CanIf.c (mixed Standard/Extended ID handling not implemented; maps to CanIf_CanIdTypeType and Rx/Tx CAN ID type fields in OpenSAR/include/CanIf_ConfigTypes.h; mixed-mode receive handling is not implemented in OpenSAR/communication/CanIf/CanIf.c) |
| SWS_CANIF_00904 | None in CanIf.c (Bus Mirroring disabled; maps to absent Bus Mirroring support: no Mirror.h/Mirror_ReportCanFrame integration and no CanIf_EnableBusMirroring API in OpenSAR/include/CanIf.h or OpenSAR/communication/CanIf/CanIf.c) |
| SWS_CANIF_00063 | None in CanIf.c (Tx buffering feature not implemented; maps to missing Tx buffering support: no CanIfTxBuffer data structure or buffer retry/removal logic in OpenSAR/communication/CanIf/CanIf.c; closest implemented path is CanIf_Transmit -> Can_Write) |
| SWS_CANIF_00849 | None in CanIf.c (Tx buffering for dynamic PDUs not implemented; maps to missing Tx buffering support: no CanIfTxBuffer data structure or buffer retry/removal logic in OpenSAR/communication/CanIf/CanIf.c; closest implemented path is CanIf_Transmit -> Can_Write) |
| SWS_CANIF_00895 | None in CanIf.c (Tx buffer overflow handling not implemented; maps to missing Tx buffering support: no CanIfTxBuffer data structure or buffer retry/removal logic in OpenSAR/communication/CanIf/CanIf.c; closest implemented path is CanIf_Transmit -> Can_Write) |
| SWS_CANIF_00835 | None in CanIf.c (Tx buffer size gating not implemented; maps to missing Tx buffering support: no CanIfTxBuffer data structure or buffer retry/removal logic in OpenSAR/communication/CanIf/CanIf.c; closest implemented path is CanIf_Transmit -> Can_Write) |
| SWS_CANIF_00836 | None in CanIf.c (Tx buffer insert not implemented; maps to missing Tx buffering support: no CanIfTxBuffer data structure or buffer retry/removal logic in OpenSAR/communication/CanIf/CanIf.c; closest implemented path is CanIf_Transmit -> Can_Write) |
| SWS_CANIF_00068 | None in CanIf.c (Tx buffer overwrite not implemented; maps to missing Tx buffering support: no CanIfTxBuffer data structure or buffer retry/removal logic in OpenSAR/communication/CanIf/CanIf.c; closest implemented path is CanIf_Transmit -> Can_Write) |
| SWS_CANIF_00837 | None in CanIf.c (Tx buffer full behavior not implemented; maps to missing Tx buffering support: no CanIfTxBuffer data structure or buffer retry/removal logic in OpenSAR/communication/CanIf/CanIf.c; closest implemented path is CanIf_Transmit -> Can_Write) |
| SWS_CANIF_00668 | None in CanIf.c (send pending buffered PDUs not implemented; maps to missing Tx buffering support: no CanIfTxBuffer data structure or buffer retry/removal logic in OpenSAR/communication/CanIf/CanIf.c; closest implemented path is CanIf_Transmit -> Can_Write) |
| SWS_CANIF_00070 | None in CanIf.c (buffered PDU priority scheduling not implemented; maps to missing Tx buffering support: no CanIfTxBuffer data structure or buffer retry/removal logic in OpenSAR/communication/CanIf/CanIf.c; closest implemented path is CanIf_Transmit -> Can_Write) |
| SWS_CANIF_00183 | None in CanIf.c (remove buffered PDU after Can_Write not implemented; Can_Write is a CAN driver API declared in OpenSAR/include/Can.h and implemented per platform in OpenSAR/arch/*/drivers/Can.c; CanIf only calls it from CanIf_Transmit; maps to missing Tx buffering support: no CanIfTxBuffer data structure or buffer retry/removal logic in OpenSAR/communication/CanIf/CanIf.c; closest implemented path is CanIf_Transmit -> Can_Write) |
| SWS_CANIF_00033 | None in CanIf.c (Tx buffer concurrency protection not implemented; maps to missing Tx buffering support: no CanIfTxBuffer data structure or buffer retry/removal logic in OpenSAR/communication/CanIf/CanIf.c; closest implemented path is CanIf_Transmit -> Can_Write) |
| SWS_CANIF_00905 | None in CanIf.c (Bus Mirroring disabled; maps to absent Bus Mirroring support: no Mirror.h/Mirror_ReportCanFrame integration and no CanIf_EnableBusMirroring API in OpenSAR/include/CanIf.h or OpenSAR/communication/CanIf/CanIf.c) |
| SWS_CANIF_00740 | None in CanIf.c (Tx confirmation polling support not implemented; maps to notification-status compile switches in generated CanIf_Cfg.h and guarded declarations in OpenSAR/include/CanIf.h; storage/API logic is disabled or missing in OpenSAR/communication/CanIf/CanIf.c) |
| SWS_CANIF_00906 | None in CanIf.c (Bus Mirroring disabled; maps to absent Bus Mirroring support: no Mirror.h/Mirror_ReportCanFrame integration and no CanIf_EnableBusMirroring API in OpenSAR/include/CanIf.h or OpenSAR/communication/CanIf/CanIf.c) |
| SWS_CANIF_00297 | None in CanIf.c (Rx buffer copy not implemented; maps to CANIF_READRXPDU_DATA_API and CanIfReadRxPduData in OpenSAR/include/CanIf.h, OpenSAR/include/CanIf_ConfigTypes.h, and generated CanIf_Cfg.h; Rx data buffering logic is not implemented in CanIf.c) |
| SWS_CANIF_00851 | None in CanIf.c (Rx MetaData copy not supported; maps to disabled dynamic/metadata support: CANIF_SETDYNAMICTXID_API and CANIF_ARC_RUNTIME_PDU_CONFIGURATION in generated CanIf_Cfg.h, CanIf_PduTypeType in OpenSAR/include/CanIf_ConfigTypes.h, and optional CanIf_SetDynamicTxId guard in OpenSAR/include/CanIf.h) |
| SWS_CANIF_00198 | None in CanIf.c (Rx buffering not implemented; maps to CANIF_READRXPDU_DATA_API and CanIfReadRxPduData in OpenSAR/include/CanIf.h, OpenSAR/include/CanIf_ConfigTypes.h, and generated CanIf_Cfg.h; Rx data buffering logic is not implemented in CanIf.c) |
| SWS_CANIF_00199 | None in CanIf.c (Rx buffering not implemented; maps to CANIF_READRXPDU_DATA_API and CanIfReadRxPduData in OpenSAR/include/CanIf.h, OpenSAR/include/CanIf_ConfigTypes.h, and generated CanIf_Cfg.h; Rx data buffering logic is not implemented in CanIf.c) |
| SWS_CANIF_00472 | None in CanIf.c (Tx notify status storage disabled; maps to notification-status compile switches in generated CanIf_Cfg.h and guarded declarations in OpenSAR/include/CanIf.h; storage/API logic is disabled or missing in OpenSAR/communication/CanIf/CanIf.c) |
| SWS_CANIF_00473 | None in CanIf.c (Rx notify status storage disabled; maps to notification-status compile switches in generated CanIf_Cfg.h and guarded declarations in OpenSAR/include/CanIf.h; storage/API logic is disabled or missing in OpenSAR/communication/CanIf/CanIf.c) |
| SWS_CANIF_00711 | None in CanIf.c (CanIf_ControllerModeIndication API missing; maps to missing CanIf_ControllerModeIndication API: no declaration in OpenSAR/include/CanIf.h or OpenSAR/include/CanIf_Cbk.h and no implementation in OpenSAR/communication/CanIf/CanIf.c) |
| SWS_CANIF_00712 | None in CanIf.c (CanIf_TrcvModeIndication API missing; maps to disabled transceiver support: CANIF_TRANSCEIVER_API in generated CanIf_Cfg.h, transceiver config types in OpenSAR/include/CanIf_ConfigTypes.h, guarded transceiver APIs in OpenSAR/include/CanIf.h, and no TrcvModeIndication implementation) |
| SWS_CANIF_00720 | None in CanIf.c (CheckWakeup hardware query not implemented; maps to disabled wakeup support: CANIF_WAKEUP_EVENT_API in generated CanIf_Cfg.h, WakeupSupport/CanIfWakeup* callbacks in OpenSAR/include/CanIf_ConfigTypes.h, and guarded CheckWakeup/CheckValidation declarations in OpenSAR/include/CanIf.h) |
| SWS_CANIF_00286 | None in CanIf.c (wakeup validation event storage not implemented; maps to disabled wakeup support: CANIF_WAKEUP_EVENT_API in generated CanIf_Cfg.h, WakeupSupport/CanIfWakeup* callbacks in OpenSAR/include/CanIf_ConfigTypes.h, and guarded CheckWakeup/CheckValidation declarations in OpenSAR/include/CanIf.h) |
| SWS_CANIF_00645 | None in CanIf.c (range filtering not implemented; maps to CanIf_HrhRangeConfigType in OpenSAR/include/CanIf_ConfigTypes.h, where range filtering is marked not supported; actual Rx filtering uses mask fields in CanIf_RxPduConfigType and CanIf_RxIndication) |
| SWS_CANIF_00646 | None in CanIf.c (range filtering not implemented; maps to CanIf_HrhRangeConfigType in OpenSAR/include/CanIf_ConfigTypes.h, where range filtering is marked not supported; actual Rx filtering uses mask fields in CanIf_RxPduConfigType and CanIf_RxIndication) |
| SWS_CANIF_00747 | None in CanIf.c (Partial Networking not supported; maps to missing Partial Networking/transceiver wake-flag APIs: no CanIf PN declarations in OpenSAR/include/CanIf.h and no implementations in OpenSAR/communication/CanIf/CanIf.c) |
| SWS_CANIF_00748 | None in CanIf.c (Partial Networking not supported; maps to missing Partial Networking/transceiver wake-flag APIs: no CanIf PN declarations in OpenSAR/include/CanIf.h and no implementations in OpenSAR/communication/CanIf/CanIf.c) |
| SWS_CANIF_00863 | None in CanIf.c (Partial Networking not supported; maps to missing Partial Networking/transceiver wake-flag APIs: no CanIf PN declarations in OpenSAR/include/CanIf.h and no implementations in OpenSAR/communication/CanIf/CanIf.c) |
| SWS_CANIF_00749 | None in CanIf.c (Partial Networking not supported; maps to missing Partial Networking/transceiver wake-flag APIs: no CanIf PN declarations in OpenSAR/include/CanIf.h and no implementations in OpenSAR/communication/CanIf/CanIf.c) |
| SWS_CANIF_00750 | None in CanIf.c (Partial Networking not supported; maps to missing Partial Networking/transceiver wake-flag APIs: no CanIf PN declarations in OpenSAR/include/CanIf.h and no implementations in OpenSAR/communication/CanIf/CanIf.c) |
| SWS_CANIF_00751 | None in CanIf.c (Partial Networking not supported; maps to missing Partial Networking/transceiver wake-flag APIs: no CanIf PN declarations in OpenSAR/include/CanIf.h and no implementations in OpenSAR/communication/CanIf/CanIf.c) |
| SWS_CANIF_00896 | None in CanIf.c (Partial Networking not supported; maps to missing Partial Networking/transceiver wake-flag APIs: no CanIf PN declarations in OpenSAR/include/CanIf.h and no implementations in OpenSAR/communication/CanIf/CanIf.c) |
| SWS_CANIF_00752 | None in CanIf.c (Partial Networking not supported; maps to missing Partial Networking/transceiver wake-flag APIs: no CanIf PN declarations in OpenSAR/include/CanIf.h and no implementations in OpenSAR/communication/CanIf/CanIf.c) |
| SWS_CANIF_00878 | None in CanIf.c (Partial Networking not supported; maps to missing Partial Networking/transceiver wake-flag APIs: no CanIf PN declarations in OpenSAR/include/CanIf.h and no implementations in OpenSAR/communication/CanIf/CanIf.c) |
| SWS_CANIF_00913 | None in CanIf.c (security event reporting/IdsM not implemented; maps to ArcCore CanIfErrorNotificaton dispatch field in OpenSAR/include/CanIf_ConfigTypes.h and CanIf_Arc_Error in OpenSAR/communication/CanIf/CanIf.c; AUTOSAR IdsM/CanIf_ErrorNotification API is not implemented) |
| SWS_CANIF_00915 | None in CanIf.c (CanIf_ErrorNotification/IdsM not implemented; maps to ArcCore CanIfErrorNotificaton dispatch field in OpenSAR/include/CanIf_ConfigTypes.h and CanIf_Arc_Error in OpenSAR/communication/CanIf/CanIf.c; AUTOSAR IdsM/CanIf_ErrorNotification API is not implemented) |
| SWS_CANIF_00916 | None in CanIf.c (CanIf_ErrorNotification/IdsM not implemented; maps to ArcCore CanIfErrorNotificaton dispatch field in OpenSAR/include/CanIf_ConfigTypes.h and CanIf_Arc_Error in OpenSAR/communication/CanIf/CanIf.c; AUTOSAR IdsM/CanIf_ErrorNotification API is not implemented) |
| SWS_CANIF_00917 | None in CanIf.c (CanIf_ControllerErrorStatePassive API missing; maps to missing controller error-state APIs: no declarations in OpenSAR/include/CanIf.h and no implementations in OpenSAR/communication/CanIf/CanIf.c) |
| SWS_CANIF_00523 | None in CanIf.c (CanIf_ConfigType definition is configuration-only; maps to CanIf_ConfigType in OpenSAR/include/CanIf_ConfigTypes.h and generated CanIf_Config instances in OpenSAR/boards/*/*/config/CanIf_Cfg.c) |
| SWS_CANIF_00661 | None in CanIf.c (cross-cutting init guard; no single function mapping; maps across service init checks in OpenSAR/communication/CanIf/CanIf.c using CanIf_Global.initRun; no single function owns the full requirement) |
| SWS_CANIF_00898 | None in CanIf.c (CanIf_GetControllerErrorState API missing; maps to missing controller error-state APIs: no declarations in OpenSAR/include/CanIf.h and no implementations in OpenSAR/communication/CanIf/CanIf.c) |
| SWS_CANIF_00899 | None in CanIf.c (CanIf_GetControllerErrorState API missing; maps to missing controller error-state APIs: no declarations in OpenSAR/include/CanIf.h and no implementations in OpenSAR/communication/CanIf/CanIf.c) |
| SWS_CANIF_00329 | None in CanIf.c (ReadRxPduData range reception not supported; maps to CANIF_READRXPDU_DATA_API and CanIfReadRxPduData in OpenSAR/include/CanIf.h, OpenSAR/include/CanIf_ConfigTypes.h, and generated CanIf_Cfg.h; Rx data buffering logic is not implemented in CanIf.c) |
| SWS_CANIF_00330 | None in CanIf.c (ReadRxPduData compile-time config only; maps to CANIF_READRXPDU_DATA_API and CanIfReadRxPduData in OpenSAR/include/CanIf.h, OpenSAR/include/CanIf_ConfigTypes.h, and generated CanIf_Cfg.h; Rx data buffering logic is not implemented in CanIf.c) |
| SWS_CANIF_00335 | None in CanIf.c (ReadTxNotifStatus compile-time config only; maps to notification-status compile switches in generated CanIf_Cfg.h and guarded declarations in OpenSAR/include/CanIf.h; storage/API logic is disabled or missing in OpenSAR/communication/CanIf/CanIf.c) |
| SWS_CANIF_00340 | None in CanIf.c (ReadRxNotifStatus compile-time config only; maps to notification-status compile switches in generated CanIf_Cfg.h and guarded declarations in OpenSAR/include/CanIf.h; storage/API logic is disabled or missing in OpenSAR/communication/CanIf/CanIf.c) |
| SWS_CANIF_00357 | None in CanIf.c (SetDynamicTxId compile-time config only; maps to disabled dynamic/metadata support: CANIF_SETDYNAMICTXID_API and CANIF_ARC_RUNTIME_PDU_CONFIGURATION in generated CanIf_Cfg.h, CanIf_PduTypeType in OpenSAR/include/CanIf_ConfigTypes.h, and optional CanIf_SetDynamicTxId guard in OpenSAR/include/CanIf.h) |
| SWS_CANIF_00362 | None in CanIf.c (transceiver API disabled; config-only; maps to disabled transceiver support: CANIF_TRANSCEIVER_API in generated CanIf_Cfg.h, transceiver config types in OpenSAR/include/CanIf_ConfigTypes.h, guarded transceiver APIs in OpenSAR/include/CanIf.h, and no TrcvModeIndication implementation) |
| SWS_CANIF_00367 | None in CanIf.c (transceiver API disabled; config-only; maps to disabled transceiver support: CANIF_TRANSCEIVER_API in generated CanIf_Cfg.h, transceiver config types in OpenSAR/include/CanIf_ConfigTypes.h, guarded transceiver APIs in OpenSAR/include/CanIf.h, and no TrcvModeIndication implementation) |
| SWS_CANIF_00371 | None in CanIf.c (transceiver API disabled; config-only; maps to disabled transceiver support: CANIF_TRANSCEIVER_API in generated CanIf_Cfg.h, transceiver config types in OpenSAR/include/CanIf_ConfigTypes.h, guarded transceiver APIs in OpenSAR/include/CanIf.h, and no TrcvModeIndication implementation) |
| SWS_CANIF_00373 | None in CanIf.c (transceiver API disabled; config-only; maps to disabled transceiver support: CANIF_TRANSCEIVER_API in generated CanIf_Cfg.h, transceiver config types in OpenSAR/include/CanIf_ConfigTypes.h, guarded transceiver APIs in OpenSAR/include/CanIf.h, and no TrcvModeIndication implementation) |
| SWS_CANIF_00408 | None in CanIf.c (CheckValidation compile-time config only; maps to disabled wakeup support: CANIF_WAKEUP_EVENT_API in generated CanIf_Cfg.h, WakeupSupport/CanIfWakeup* callbacks in OpenSAR/include/CanIf_ConfigTypes.h, and guarded CheckWakeup/CheckValidation declarations in OpenSAR/include/CanIf.h) |
| SWS_CANIF_00736 | None in CanIf.c (CanIf_GetTxConfirmationState API missing; maps to notification-status compile switches in generated CanIf_Cfg.h and guarded declarations in OpenSAR/include/CanIf.h; storage/API logic is disabled or missing in OpenSAR/communication/CanIf/CanIf.c) |
| SWS_CANIF_00738 | None in CanIf.c (CanIf_GetTxConfirmationState config only; API missing; maps to notification-status compile switches in generated CanIf_Cfg.h and guarded declarations in OpenSAR/include/CanIf.h; storage/API logic is disabled or missing in OpenSAR/communication/CanIf/CanIf.c) |
| SWS_CANIF_00766 | None in CanIf.c (CanIf_ClearTrcvWufFlag API missing; PN not supported; maps to missing Partial Networking/transceiver wake-flag APIs: no CanIf PN declarations in OpenSAR/include/CanIf.h and no implementations in OpenSAR/communication/CanIf/CanIf.c) |
| SWS_CANIF_00769 | None in CanIf.c (CanIf_ClearTrcvWufFlag API missing; PN not supported; maps to missing Partial Networking/transceiver wake-flag APIs: no CanIf PN declarations in OpenSAR/include/CanIf.h and no implementations in OpenSAR/communication/CanIf/CanIf.c) |
| SWS_CANIF_00771 | None in CanIf.c (ClearTrcvWufFlag config only; PN not supported; maps to missing Partial Networking/transceiver wake-flag APIs: no CanIf PN declarations in OpenSAR/include/CanIf.h and no implementations in OpenSAR/communication/CanIf/CanIf.c) |
| SWS_CANIF_00765 | None in CanIf.c (CanIf_CheckTrcvWakeFlag API missing; PN not supported; maps to missing Partial Networking/transceiver wake-flag APIs: no CanIf PN declarations in OpenSAR/include/CanIf.h and no implementations in OpenSAR/communication/CanIf/CanIf.c) |
| SWS_CANIF_00770 | None in CanIf.c (CanIf_CheckTrcvWakeFlag API missing; PN not supported; maps to missing Partial Networking/transceiver wake-flag APIs: no CanIf PN declarations in OpenSAR/include/CanIf.h and no implementations in OpenSAR/communication/CanIf/CanIf.c) |
| SWS_CANIF_00813 | None in CanIf.c (CheckTrcvWakeFlag config only; PN not supported; maps to missing Partial Networking/transceiver wake-flag APIs: no CanIf PN declarations in OpenSAR/include/CanIf.h and no implementations in OpenSAR/communication/CanIf/CanIf.c) |
| SWS_CANIF_00392 | None in CanIf.c (Rx notify status update disabled; maps to notification-status compile switches in generated CanIf_Cfg.h and guarded declarations in OpenSAR/include/CanIf.h; storage/API logic is disabled or missing in OpenSAR/communication/CanIf/CanIf.c) |
| SWS_CANIF_00433 | None in CanIf.c (ControllerId config parameter only; maps to configuration structures in OpenSAR/include/CanIf_ConfigTypes.h and generated CanIf_Cfg.c files under OpenSAR/boards/*/*/config/) |
| SWS_CANIF_00753 | None in CanIf.c (CanIf_ConfirmPnAvailability API missing; PN not supported; maps to missing Partial Networking/transceiver wake-flag APIs: no CanIf PN declarations in OpenSAR/include/CanIf.h and no implementations in OpenSAR/communication/CanIf/CanIf.c) |
| SWS_CANIF_00816 | None in CanIf.c (CanIf_ConfirmPnAvailability API missing; PN not supported; maps to missing Partial Networking/transceiver wake-flag APIs: no CanIf PN declarations in OpenSAR/include/CanIf.h and no implementations in OpenSAR/communication/CanIf/CanIf.c) |
| SWS_CANIF_00817 | None in CanIf.c (CanIf_ConfirmPnAvailability API missing; PN not supported; maps to missing Partial Networking/transceiver wake-flag APIs: no CanIf PN declarations in OpenSAR/include/CanIf.h and no implementations in OpenSAR/communication/CanIf/CanIf.c) |
| SWS_CANIF_00754 | None in CanIf.c (ConfirmPnAvailability config only; PN not supported; maps to missing Partial Networking/transceiver wake-flag APIs: no CanIf PN declarations in OpenSAR/include/CanIf.h and no implementations in OpenSAR/communication/CanIf/CanIf.c) |
| SWS_CANIF_00757 | None in CanIf.c (ClearTrcvWufFlagIndication API missing; PN not supported; maps to missing Partial Networking/transceiver wake-flag APIs: no CanIf PN declarations in OpenSAR/include/CanIf.h and no implementations in OpenSAR/communication/CanIf/CanIf.c) |
| SWS_CANIF_00805 | None in CanIf.c (ClearTrcvWufFlagIndication API missing; PN not supported; maps to missing Partial Networking/transceiver wake-flag APIs: no CanIf PN declarations in OpenSAR/include/CanIf.h and no implementations in OpenSAR/communication/CanIf/CanIf.c) |
| SWS_CANIF_00806 | None in CanIf.c (ClearTrcvWufFlagIndication API missing; PN not supported; maps to missing Partial Networking/transceiver wake-flag APIs: no CanIf PN declarations in OpenSAR/include/CanIf.h and no implementations in OpenSAR/communication/CanIf/CanIf.c) |
| SWS_CANIF_00808 | None in CanIf.c (ClearTrcvWufFlagIndication config only; PN not supported; maps to missing Partial Networking/transceiver wake-flag APIs: no CanIf PN declarations in OpenSAR/include/CanIf.h and no implementations in OpenSAR/communication/CanIf/CanIf.c) |
| SWS_CANIF_00759 | None in CanIf.c (CheckTrcvWakeFlagIndication API missing; PN not supported; maps to missing Partial Networking/transceiver wake-flag APIs: no CanIf PN declarations in OpenSAR/include/CanIf.h and no implementations in OpenSAR/communication/CanIf/CanIf.c) |
| SWS_CANIF_00809 | None in CanIf.c (CheckTrcvWakeFlagIndication API missing; PN not supported; maps to missing Partial Networking/transceiver wake-flag APIs: no CanIf PN declarations in OpenSAR/include/CanIf.h and no implementations in OpenSAR/communication/CanIf/CanIf.c) |
| SWS_CANIF_00810 | None in CanIf.c (CheckTrcvWakeFlagIndication API missing; PN not supported; maps to missing Partial Networking/transceiver wake-flag APIs: no CanIf PN declarations in OpenSAR/include/CanIf.h and no implementations in OpenSAR/communication/CanIf/CanIf.c) |
| SWS_CANIF_00812 | None in CanIf.c (CheckTrcvWakeFlagIndication config only; PN not supported; maps to missing Partial Networking/transceiver wake-flag APIs: no CanIf PN declarations in OpenSAR/include/CanIf.h and no implementations in OpenSAR/communication/CanIf/CanIf.c) |
| SWS_CANIF_00700 | None in CanIf.c (CanIf_ControllerModeIndication API missing; maps to missing CanIf_ControllerModeIndication API: no declaration in OpenSAR/include/CanIf.h or OpenSAR/include/CanIf_Cbk.h and no implementation in OpenSAR/communication/CanIf/CanIf.c) |
| SWS_CANIF_00702 | None in CanIf.c (CanIf_ControllerModeIndication API missing; maps to missing CanIf_ControllerModeIndication API: no declaration in OpenSAR/include/CanIf.h or OpenSAR/include/CanIf_Cbk.h and no implementation in OpenSAR/communication/CanIf/CanIf.c) |
| SWS_CANIF_00706 | None in CanIf.c (CanIf_TrcvModeIndication API missing; maps to disabled transceiver support: CANIF_TRANSCEIVER_API in generated CanIf_Cfg.h, transceiver config types in OpenSAR/include/CanIf_ConfigTypes.h, guarded transceiver APIs in OpenSAR/include/CanIf.h, and no TrcvModeIndication implementation) |
| SWS_CANIF_00708 | None in CanIf.c (CanIf_TrcvModeIndication API missing; maps to disabled transceiver support: CANIF_TRANSCEIVER_API in generated CanIf_Cfg.h, transceiver config types in OpenSAR/include/CanIf_ConfigTypes.h, guarded transceiver APIs in OpenSAR/include/CanIf.h, and no TrcvModeIndication implementation) |
