Requirement to Code Traceability matrix

| Req ID | CanIf.c function(s) / (description from csv) |
| SWS_CANIF_00865 | CanIf_SetControllerMode / (CanIf_SetControllerMode(ControllerId, CAN_CS_SLEEP) shall set the PDU channel mode of the corresponding channel to CANIF_OFFLINE) |
| SWS_CANIF_00866 | CanIf_SetControllerMode, CanIf_ControllerBusOff / (CanIf_SetControllerMode(ControllerId, CAN_CS_STOPPED) or CanIf_ControllerBusOff() shall set the PDU channel mode to CANIF_TX_OFFLINE) |
| SWS_CANIF_00073 | CanIf_Transmit, CanIf_TxConfirmation, CanIf_RxIndication / (CANIF_OFFLINE mode shall prevent Tx forwarding, clear Tx buffers, and suppress all Rx and Tx callback invocations) |
| SWS_CANIF_00489 | CanIf_Transmit, CanIf_RxIndication / (CANIF_TX_OFFLINE mode shall prevent Tx forwarding and clear Tx buffers while enabling Rx indication callbacks) |
| SWS_CANIF_00075 | CanIf_SetControllerMode / (CANIF_ONLINE mode shall enable Tx forwarding and all Rx and Tx callback invocations) |
| SWS_CANIF_00072 | CanIf_TxConfirmation / (CANIF_TX_OFFLINE_ACTIVE mode shall invoke TxConfirmation callbacks immediately on CanIf_Transmit() instead of buffering or forwarding to CanDrv) |
| SWS_CANIF_00118 | CanIf_ControllerBusOff / (CanIf shall not prohibit the BusOff notification for Tx L-PDUs still pending in the CAN HW Object after a mode change to CANIF_TX_OFFLINE or CANIF_OFFLINE) |
| SWS_CANIF_00341 | CanIf_SetPduMode / (Invalid ControllerId in CanIf_SetPduMode() shall report CANIF_E_PARAM_CONTROLLERID) |
| SWS_CANIF_00860 | CanIf_SetPduMode / (Invalid PduModeRequest in CanIf_SetPduMode() shall report CANIF_E_PARAM_PDU_MODE) |
| SWS_CANIF_00874 | CanIf_SetPduMode / (CanIf_SetPduMode() shall not accept any request and shall return E_NOT_OK if the controller mode is not CAN_CS_STARTED) |
| SWS_CANIF_00346 | CanIf_GetPduMode / (Invalid ControllerId in CanIf_GetPduMode() shall report CANIF_E_PARAM_CONTROLLERID) |
| SWS_CANIF_00657 | CanIf_GetPduMode / (Invalid PduModePtr in CanIf_GetPduMode() shall report CANIF_E_PARAM_POINTER) |
| SWS_CANIF_00317 | CanIf_Transmit / (CanIf_Transmit() shall not accept a request if the controller mode is not CAN_CS_STARTED and the channel transmit path is not online or offline-active) |
| SWS_CANIF_00318 | CanIf_Transmit / (CanIf_Transmit() shall call Can_Write() with the HTH, swPduHandle set to CanTxPduId, length, CanId, and SduDataPtr from PduInfoPtr) |
| SWS_CANIF_00243 | CanIf_Transmit / (CanIf shall set the two MSBs of the CanId before calling Can_Write() based on CanIfTxPduCanIdType) |
| SWS_CANIF_00162 | CanIf_Transmit / (CanIf_Transmit() shall return E_OK if Can_Write() returns E_OK) |
| SWS_CANIF_00319 | CanIf_Transmit / (Invalid TxPduId in CanIf_Transmit() shall report CANIF_E_INVALID_TXPDUID) |
| SWS_CANIF_00320 | CanIf_Transmit / (Invalid PduInfoPtr in CanIf_Transmit() shall report CANIF_E_PARAM_POINTER) |
| SWS_CANIF_00882 | CanIf_Transmit / (CanIf_Transmit() shall accept a NULL SduDataPtr if CanIfTxPduTriggerTransmit is TRUE) |
| SWS_CANIF_00893 | CanIf_Transmit / (CanIf_Transmit() shall report CANIF_E_DATA_LENGTH_MISMATCH if SduLength exceeds the maximum CAN or CAN FD frame length) |
| SWS_CANIF_00894 | CanIf_Transmit / (CanIf_Transmit() shall transmit data up to the global PDU length and discard the rest when CanIfTxPduTruncation is enabled) |
| SWS_CANIF_00900 | CanIf_Transmit / (CanIf_Transmit() shall report CANIF_E_TXPDU_LENGTH_EXCEEDED and return E_NOT_OK if SduLength exceeds the global PDU length and CanIfTxPduTruncation is disabled) |
| SWS_CANIF_00381 | CanIf_Transmit / (If Can_Write() returns CAN_BUSY for a direct Tx PDU, CanIf shall attempt to store the Tx L-PDU in the assigned CanIfTxBuffer) |
| SWS_CANIF_00881 | CanIf_Transmit / (If Can_Write() returns CAN_BUSY for a triggered Tx PDU, CanIf shall attempt to store the Transmit Request in the assigned CanIfTxBuffer) |
| SWS_CANIF_00386 | CanIf_TxConfirmation / (During TxConfirmation CanIf shall evaluate whether pending Tx L-PDUs or Transmit Requests are stored in the CanIfTxBuffers assigned to the freed HTH) |
| SWS_CANIF_00485 | CanIf_SetControllerMode / (On entering CAN_CS_STOPPED CanIf shall clear the Tx buffers assigned to the corresponding CAN Controller) |
| SWS_CANIF_00739 | CanIf_SetControllerMode / (On entering CAN_CS_STOPPED CanIf shall call <User_TxConfirmation>(E_NOT_OK) for every outstanding TxConfirmation assigned to that controller) |
| SWS_CANIF_00383 | CanIf_TxConfirmation / (CanIf_TxConfirmation() shall identify the upper layer linked to the transmitted L-PDU and notify it via <User_TxConfirmation>(E_OK)) |
| SWS_CANIF_00412 | CanIf_TxConfirmation / (If CanIf is not initialized, CanIf_TxConfirmation() shall not call <User_TxConfirmation>() or set the Tx confirmation status) |
| SWS_CANIF_00410 | CanIf_TxConfirmation / (Invalid CanTxPduId in CanIf_TxConfirmation() shall report CANIF_E_PARAM_LPDU) |
| SWS_CANIF_00551 | CanIf_RxIndication / (If CanIfTxPduUserTxConfirmationUL is set to CDD, the <User_TxConfirmation>() API name shall be configured via CanIfTxPduUserTxConfirmationName) |
| SWS_CANIF_00389 | CanIf_RxIndication / (CanIf_RxIndication() shall process software filtering on the received L-PDU; if rejected, the receive indication shall end for that call) |
| SWS_CANIF_00390 | CanIf_RxIndication / (After software filtering acceptance in CanIf_RxIndication(), CanIf shall process the Data Length Check if configured) |
| SWS_CANIF_00030 | CanIf_RxIndication / (If the received L-PDU CanId is configured to be received, CanIf shall accept it and derive the corresponding Rx L-PDU from the found CanId) |
| SWS_CANIF_00852 | CanIf_RxIndication / (Software filter shall prefer a single CanId over a range and a smaller range over a larger one when selecting the matching Rx L-PDU) |
| SWS_CANIF_00026 | CanIf_RxIndication / (CanIf shall accept received L-PDUs with a Data Length equal or greater than the configured CanIfRxPduDataLength value) |
| SWS_CANIF_00902 | CanIf_RxIndication / (Data Length Check shall be processed only if enabled globally via CanIfPrivateDataLengthCheck and not disabled per PDU via CanIfRxPduDataLengthCheck) |
| SWS_CANIF_00168 | CanIf_RxIndication / (If the Data Length Check rejects a received L-PDU, CanIf shall report CANIF_E_INVALID_DATA_LENGTH) |
| SWS_CANIF_00829 | CanIf_RxIndication / (CanIf shall pass the received length value to the target upper layer module if the Data Length Check is passed) |
| SWS_CANIF_00830 | CanIf_RxIndication / (CanIf shall pass the received length value to the target upper layer module if the Data Length Check is not configured) |
| SWS_CANIF_00056 | CanIf_RxIndication / (After Data Length Check acceptance, CanIf shall identify whether a target upper layer module is configured to receive the Rx indication) |
| SWS_CANIF_00135 | CanIf_RxIndication / (CanIf shall call the configured receive indication callback service with parameters derived from CanIf_RxIndication()) |
| SWS_CANIF_00415 | CanIf_RxIndication / (Within CanIf_RxIndication() CanIf shall route the indication to the configured upper layer target service) |
| SWS_CANIF_00416 | CanIf_Arc_FindHrhChannel / (Invalid Mailbox->Hoh passed to CanIf_RxIndication() shall report CANIF_E_PARAM_HOH) |
| SWS_CANIF_00417 | CanIf_RxIndication / (Invalid Mailbox->CanId passed to CanIf_RxIndication() shall report CANIF_E_PARAM_CANID) |
| SWS_CANIF_00419 | CanIf_RxIndication / (Invalid PduInfoPtr or Mailbox passed to CanIf_RxIndication() shall report CANIF_E_PARAM_POINTER) |
| SWS_CANIF_00421 | CanIf_RxIndication / (If CanIf is not initialized, CanIf_RxIndication() shall not execute Rx indication handling) |
| SWS_CANIF_00423 | CanIf_RxIndication / (Each Rx L-PDU shall be configured with a corresponding receive indication service of an upper layer module called in CanIf_RxIndication()) |
| SWS_CANIF_00552 | CanIf_RxIndication / (The name of the <User_RxIndication>() API called by CanIf shall be configured via CanIfRxPduUserRxIndicationName) |
| SWS_CANIF_00442 | CanIf_RxIndication / (If CanIfRxPduUserRxIndicationUL is set to PDUR, CanIfRxPduUserRxIndicationName must be PduR_CanIfRxIndication) |
| SWS_CANIF_00445 | CanIf_RxIndication / (If CanIfRxPduUserRxIndicationUL is set to CAN_NM, CanIfRxPduUserRxIndicationName must be CanNm_RxIndication) |
| SWS_CANIF_00448 | CanIf_RxIndication / (If CanIfRxPduUserRxIndicationUL is set to CAN_TP, CanIfRxPduUserRxIndicationName must be CanTp_RxIndication) |
| SWS_CANIF_00554 | CanIf_RxIndication / (If CanIfRxPduUserRxIndicationUL is set to J1939TP, CanIfRxPduUserRxIndicationName must be J1939Tp_RxIndication) |
| SWS_CANIF_00557 | CanIf_RxIndication / (If CanIfRxPduUserRxIndicationUL is set to CDD, the <User_RxIndication>() API name shall be configured via CanIfRxPduUserRxIndicationName) |
| SWS_CANIF_00324 | CanIf_ReadRxPduData / (CanIf_ReadRxPduData() shall return E_NOT_OK if the controller is not in CAN_CS_STARTED or the channel is not in Rx-online mode) |
| SWS_CANIF_00325 | CanIf_ReadRxPduData / (Invalid CanIfRxSduId in CanIf_ReadRxPduData() shall report CANIF_E_INVALID_RXPDUID) |
| SWS_CANIF_00326 | CanIf_ReadRxPduData / (Invalid CanIfRxInfoPtr in CanIf_ReadRxPduData() shall report CANIF_E_PARAM_POINTER) |
| SWS_CANIF_00393 | CanIf_ReadTxNotifStatus / (CanIf_ReadTxNotifStatus() shall reset the Tx notification status when CanIfPublicReadTxPduNotifyStatusApi and CanIfTxPduReadNotifyStatus are TRUE) |
| SWS_CANIF_00331 | CanIf_ReadTxNotifStatus / (Out-of-range or unconfigured CanIfTxSduId in CanIf_ReadTxNotifStatus() shall report CANIF_E_INVALID_TXPDUID) |
| SWS_CANIF_00394 | CanIf_ReadRxNotifStatus / (CanIf_ReadRxNotifStatus() shall reset the Rx notification status when CanIfPublicReadRxPduNotifyStatusApi and CanIfRxPduReadNotifyStatus are TRUE) |
| SWS_CANIF_00336 | CanIf_ReadRxNotifStatus / (Out-of-range or unconfigured CanIfRxSduId in CanIf_ReadRxNotifStatus() shall report CANIF_E_INVALID_RXPDUID) |
| SWS_CANIF_00188 | CanIf_SetDynamicTxId / (CanIf shall process the two MSBs of the CanId to determine the CanId type and how the dynamic Tx L-PDU shall be transmitted) |
| SWS_CANIF_00673 | CanIf_SetDynamicTxId / (CanIf shall guarantee CanId data consistency in CanIf_SetDynamicTxId() against pre-emptive CanIf_Transmit() calls on the same L-PDU) |
| SWS_CANIF_00352 | CanIf_SetDynamicTxId / (Invalid CanIfTxSduId in CanIf_SetDynamicTxId() shall report CANIF_E_INVALID_TXPDUID) |
| SWS_CANIF_00353 | CanIf_SetDynamicTxId / (Invalid CanId in CanIf_SetDynamicTxId() shall report CANIF_E_PARAM_CANID) |
| SWS_CANIF_00355 | CanIf_SetDynamicTxId / (If CanIf is not initialized, CanIf_SetDynamicTxId() shall not execute Tx CanId reconfiguration) |
| SWS_CANIF_00724 | CanIf_ControllerBusOff / (CanIf_ControllerBusOff() shall call CanSM_ControllerBusOff() or a CDD when a BusOff event is indicated by CanDrv) |
| SWS_CANIF_00429 | CanIf_ControllerBusOff / (Invalid ControllerId in CanIf_ControllerBusOff() shall report CANIF_E_PARAM_CONTROLLERID) |
| SWS_CANIF_00431 | CanIf_ControllerBusOff / (If CanIf is not initialized, CanIf_ControllerBusOff() shall not execute BusOff notification) |
| SWS_CANIF_00395 | CanIf_CheckWakeup / (CanIf_CheckWakeup() shall query CanDrvs and CanTrcvs via Can_CheckWakeup() or CanTrcv_CheckWakeup() to identify the wake-up source) |
| SWS_CANIF_00678 | CanIf_CheckWakeup / (CanIf_CheckWakeup() shall return E_NOT_OK if all Can_CheckWakeup()/CanTrcv_CheckWakeup() calls return E_NOT_OK) |
| SWS_CANIF_00179 | CanIf_CheckValidation / (<User_ValidateWakeupEvent>(sources) shall be called during CanIf_CheckValidation() if the first valid RxIndication event is stored for the corresponding controller) |
| SWS_CANIF_00756 | CanIf_SetControllerMode / (On entering CAN_CS_SLEEP the stored first-valid-RxIndication wake-up event shall be cleared) |
| SWS_CANIF_00398 | CanIf_CheckWakeup / (Invalid WakeupSource in CanIf_CheckWakeup() shall report CANIF_E_PARAM_WAKEUPSOURCE) |
| SWS_CANIF_00404 | CanIf_CheckValidation / (Invalid WakeupSource in CanIf_CheckValidation() shall report CANIF_E_PARAM_WAKEUPSOURCE) |
| SWS_CANIF_00358 | CanIf_SetTransceiverMode / (CanIf_SetTrcvMode() shall call CanTrcv_SetOpMode(Transceiver, OpMode) on the corresponding transceiver driver) |
| SWS_CANIF_00538 | CanIf_SetTransceiverMode / (Invalid TransceiverId in CanIf_SetTrcvMode() shall report CANIF_E_PARAM_TRCV) |
| SWS_CANIF_00648 | CanIf_SetTransceiverMode / (Invalid TransceiverMode in CanIf_SetTrcvMode() shall report CANIF_E_PARAM_TRCVMODE) |
| SWS_CANIF_00363 | CanIf_GetTransceiverMode / (CanIf_GetTrcvMode() shall call CanTrcv_GetOpMode(Transceiver, OpMode) on the corresponding transceiver driver) |
| SWS_CANIF_00364 | CanIf_GetTransceiverMode / (Invalid TransceiverId in CanIf_GetTrcvMode() shall report CANIF_E_PARAM_TRCV) |
| SWS_CANIF_00650 | CanIf_GetTransceiverMode / (Invalid TransceiverModePtr in CanIf_GetTrcvMode() shall report CANIF_E_PARAM_POINTER) |
| SWS_CANIF_00368 | CanIf_GetTrcvWakeupReason / (CanIf_GetTrcvWakeupReason() shall call CanTrcv_GetBusWuReason(Transceiver, Reason) on the corresponding transceiver driver) |
| SWS_CANIF_00537 | CanIf_GetTrcvWakeupReason / (Invalid TransceiverId in CanIf_GetTrcvWakeupReason() shall report CANIF_E_PARAM_TRCV) |
| SWS_CANIF_00649 | CanIf_GetTrcvWakeupReason / (Invalid TrcvWuReasonPtr in CanIf_GetTrcvWakeupReason() shall report CANIF_E_PARAM_POINTER) |
| SWS_CANIF_00372 | CanIf_SetTransceiverWakeupMode / (CanIf_SetTrcvWakeupMode() shall call CanTrcv_SetWakeupMode(Transceiver, TrcvWakeupMode) on the corresponding transceiver driver) |
| SWS_CANIF_00535 | CanIf_SetTransceiverWakeupMode / (Invalid TransceiverId in CanIf_SetTrcvWakeupMode() shall report CANIF_E_PARAM_TRCV) |
| SWS_CANIF_00536 | CanIf_SetTransceiverWakeupMode / (Invalid TrcvWakeupMode in CanIf_SetTrcvWakeupMode() shall report CANIF_E_PARAM_TRCVWAKEUPMODE) |

